time,action,key_action,side,hero,position,position_px
-01:03,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 60.0, 'top_percent': 80.0}","(614, 819)"
-00:56,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 40.0, 'top_percent': 31.0}","(409, 317)"
-00:42,Snapfire activated Smoke of Deceit to stealth,smoke,Radiant,Snapfire,"{'left_percent': 31.0, 'top_percent': 56.0}","(317, 573)"
-00:41,Enchantress activated Smoke of Deceit to stealth,smoke,Dire,Enchantress,"{'left_percent': 56.0, 'top_percent': 38.0}","(573, 389)"
-00:34,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 47.0, 'top_percent': 48.0}","(481, 491)"
-00:19,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 52.0, 'top_percent': 57.0}","(532, 583)"
03:22,Nyx Assassin placed a Observer Ward,placed,Dire,Nyx,"{'left_percent': 61.0, 'top_percent': 87.0}","(624, 890)"
05:26,Kunkka placed a Observer Ward,placed,Dire,Kunkka,"{'left_percent': 46.0, 'top_percent': 41.0}","(471, 419)"
05:46,Alchemist destroyed a Observer Ward,destroyed,Radiant,Alchemist,"{'left_percent': 46.0, 'top_percent': 41.0}","(471, 419)"
05:51,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 41.0, 'top_percent': 50.0}","(419, 512)"
06:42,Nyx Assassin placed a Observer Ward,placed,Dire,Nyx,"{'left_percent': 59.0, 'top_percent': 52.0}","(604, 532)"
06:57,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 56.0, 'top_percent': 77.0}","(573, 788)"
07:54,Enchantress destroyed a Observer Ward,destroyed,Dire,Enchantress,"{'left_percent': 41.0, 'top_percent': 50.0}","(419, 512)"
08:21,Queen of Pain placed a Observer Ward,placed,Radiant,Queen,"{'left_percent': 38.0, 'top_percent': 60.0}","(389, 614)"
08:38,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 83.0, 'top_percent': 68.0}","(849, 696)"
09:00,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 11.0, 'top_percent': 12.0}","(112, 122)"
11:00,Snapfire activated Smoke of Deceit to stealth,smoke,Radiant,Snapfire,"{'left_percent': 58.0, 'top_percent': 77.0}","(593, 788)"
13:46,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 90.0, 'top_percent': 94.0}","(921, 962)"
13:57,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 85.0, 'top_percent': 80.0}","(870, 819)"
14:57,Snapfire activated Smoke of Deceit to stealth,smoke,Radiant,Snapfire,"{'left_percent': 38.0, 'top_percent': 63.0}","(389, 645)"
15:02,Nyx Assassin placed a Observer Ward,placed,Dire,Nyx,"{'left_percent': 53.0, 'top_percent': 46.0}","(542, 471)"
15:14,Nyx Assassin activated Smoke of Deceit to stealth,smoke,Dire,Nyx,"{'left_percent': 68.0, 'top_percent': 49.0}","(696, 501)"
15:22,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 35.0, 'top_percent': 12.0}","(358, 122)"
15:58,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 39.0, 'top_percent': 48.0}","(399, 491)"
16:57,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 70.0, 'top_percent': 99.0}","(716, 1013)"
18:43,Alchemist activated Smoke of Deceit to stealth,smoke,Radiant,Alchemist,"{'left_percent': 43.0, 'top_percent': 96.0}","(440, 983)"
19:26,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 91.0, 'top_percent': 70.0}","(931, 716)"
19:26,Nyx Assassin placed a Observer Ward,placed,Dire,Nyx,"{'left_percent': 8.0, 'top_percent': 25.0}","(81, 256)"
20:36,Enchantress activated Smoke of Deceit to stealth,smoke,Dire,Enchantress,"{'left_percent': 8.0, 'top_percent': 2.0}","(81, 20)"
23:08,Nyx Assassin placed a Observer Ward,placed,Dire,Nyx,"{'left_percent': 86.0, 'top_percent': 94.0}","(880, 962)"
23:22,Alchemist activated Dust of Appearance to reveal,smoke,Radiant,Alchemist,"{'left_percent': 91.0, 'top_percent': 69.0}","(931, 706)"
23:30,Alchemist activated Dust of Appearance to reveal,smoke,Radiant,Alchemist,"{'left_percent': 91.0, 'top_percent': 70.0}","(931, 716)"
24:32,Enchantress activated Smoke of Deceit to stealth,smoke,Dire,Enchantress,"{'left_percent': 56.0, 'top_percent': 39.0}","(573, 399)"
24:39,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 28.0, 'top_percent': 42.0}","(286, 430)"
25:13,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 70.0, 'top_percent': 99.0}","(716, 1013)"
25:56,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 37.0, 'top_percent': 24.0}","(378, 245)"
26:01,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 46.0, 'top_percent': 42.0}","(471, 430)"
26:05,Snapfire activated Dust of Appearance but missed,smoke,Radiant,Snapfire,"{'left_percent': 29.0, 'top_percent': 39.0}","(296, 399)"
26:11,Lycan activated Dust of Appearance to reveal,smoke,Radiant,Lycan,"{'left_percent': 22.0, 'top_percent': 31.0}","(225, 317)"
26:32,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 38.0, 'top_percent': 30.0}","(389, 307)"
26:37,Alchemist activated Smoke of Deceit to stealth,smoke,Radiant,Alchemist,"{'left_percent': 25.0, 'top_percent': 31.0}","(256, 317)"
26:42,Snapfire destroyed a Observer Ward,destroyed,Radiant,Snapfire,"{'left_percent': 46.0, 'top_percent': 42.0}","(471, 430)"
27:35,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 62.0, 'top_percent': 1.0}","(634, 10)"
28:44,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 102.0, 'top_percent': 88.0}","(1044, 901)"
28:58,Pudge activated Dust of Appearance to reveal,smoke,Radiant,Pudge,"{'left_percent': 73.0, 'top_percent': 93.0}","(747, 952)"
29:04,Pudge activated Dust of Appearance to reveal,smoke,Radiant,Pudge,"{'left_percent': 78.0, 'top_percent': 90.0}","(798, 921)"
29:05,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 80.0, 'top_percent': 89.0}","(819, 911)"
29:09,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 78.0, 'top_percent': 94.0}","(798, 962)"
29:45,Snapfire destroyed a Observer Ward,destroyed,Radiant,Snapfire,"{'left_percent': 102.0, 'top_percent': 88.0}","(1044, 901)"
31:20,Alchemist placed a Observer Ward,placed,Radiant,Alchemist,"{'left_percent': 99.0, 'top_percent': 45.0}","(1013, 460)"
32:29,Enchantress placed a Observer Ward,placed,Dire,Enchantress,"{'left_percent': 56.0, 'top_percent': 27.0}","(573, 276)"
33:54,Snapfire placed a Observer Ward,placed,Radiant,Snapfire,"{'left_percent': 50.0, 'top_percent': 35.0}","(512, 358)"
34:43,Pudge activated Dust of Appearance to reveal,smoke,Radiant,Pudge,"{'left_percent': 85.0, 'top_percent': 22.0}","(870, 225)"
